Model,Target,Param,Train RMSE,Test RMSE,Time Taken,Percentage Error
KNN,EO (eV),"n_neighbors=3, weight=uniform",0.680346623257423,1.1378268761107726,0.010114192962646484,67.24223171168039
KNN,EC (eV),"n_neighbors=3, weight=uniform",0.49788999231200104,0.4740282457594459,0.0,4.792574046678618
KNN,EO (eV),"n_neighbors=3, weight=distance",0.0,1.1378268761107726,0.0,inf
KNN,EC (eV),"n_neighbors=3, weight=distance",0.0,0.4740282457594459,0.0,inf
KNN,EO (eV),"n_neighbors=5, weight=uniform",0.7778099060824566,1.3094556120770187,0.00374603271484375,68.35162445696618
KNN,EC (eV),"n_neighbors=5, weight=uniform",0.6240472738503071,0.515242661277189,0.0,17.435315741675296
KNN,EO (eV),"n_neighbors=5, weight=distance",0.0,1.3094556120770187,0.006963253021240234,inf
KNN,EC (eV),"n_neighbors=5, weight=distance",0.0,0.5152426612771881,0.0035414695739746094,inf
KNN,EO (eV),"n_neighbors=8, weight=uniform",0.8674035203914612,1.1515125922021,0.0,32.753968035824855
KNN,EC (eV),"n_neighbors=8, weight=uniform",0.6794669182298356,0.4835222332013286,0.0,28.838002229598914
KNN,EO (eV),"n_neighbors=8, weight=distance",0.0,1.1515125922021003,0.0,inf
KNN,EC (eV),"n_neighbors=8, weight=distance",0.0,0.4835222332013286,0.005068063735961914,inf
KNN,EO (eV),"n_neighbors=9, weight=uniform",0.8871352493375991,1.082991114038531,0.0,22.07733993741906
KNN,EC (eV),"n_neighbors=9, weight=uniform",0.6963008520339539,0.47715301528964477,0.0,31.473153609414616
KNN,EO (eV),"n_neighbors=9, weight=distance",0.0,1.0829911140385313,0.0,inf
KNN,EC (eV),"n_neighbors=9, weight=distance",0.0,0.47715301528964477,0.0025064945220947266,inf
GBR,EO (eV),"n_estimators=100, learning_rate=0.1, max_depth=3",0.0582534426775024,1.2814756015028461,0.04235553741455078,2099.828100456207
GBR,EC (eV),"n_estimators=100, learning_rate=0.1, max_depth=3",0.03585181249916283,0.5308474183264831,0.037906646728515625,1380.6710771983392
GBR,EO (eV),"n_estimators=100, learning_rate=0.1, max_depth=4",0.01962484452820577,1.288098617185551,0.0377507209777832,6463.611830576461
GBR,EC (eV),"n_estimators=100, learning_rate=0.1, max_depth=4",0.011547458952869776,0.5307051650879777,0.03156781196594238,4495.861022360134
GBR,EO (eV),"n_estimators=100, learning_rate=0.2, max_depth=3",0.0038449528734376347,1.3035005213146857,0.03796792030334473,33801.59942712828
GBR,EC (eV),"n_estimators=100, learning_rate=0.2, max_depth=3",0.002223553358672427,0.5302834667004869,0.06945967674255371,23748.470495760568
GBR,EO (eV),"n_estimators=100, learning_rate=0.2, max_depth=4",0.0003882113954212715,1.2414384357960346,0.061292409896850586,319684.1306149386
GBR,EC (eV),"n_estimators=100, learning_rate=0.2, max_depth=4",0.00022689733510021694,0.5314241874693162,0.06560230255126953,234113.49890892048
GBR,EO (eV),"n_estimators=100, learning_rate=0.5, max_depth=3",6.575831891684704e-08,1.2393267415364686,0.05723428726196289,1884669036.8488703
GBR,EC (eV),"n_estimators=100, learning_rate=0.5, max_depth=3",5.4401683254465156e-08,0.5275080175245092,0.06380105018615723,969653752.5418007
GBR,EO (eV),"n_estimators=100, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.05008292198181152,8842781410.249344
GBR,EC (eV),"n_estimators=100, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.07848000526428223,3946451765.959173
GBR,EO (eV),"n_estimators=115, learning_rate=0.1, max_depth=3",0.040438840063715294,1.2787719018450776,0.04977297782897949,3062.236849104102
GBR,EC (eV),"n_estimators=115, learning_rate=0.1, max_depth=3",0.02397133965125297,0.5317060624466459,0.05301928520202637,2118.09072910472
GBR,EO (eV),"n_estimators=115, learning_rate=0.1, max_depth=4",0.011572999796966897,1.2882118326822103,0.06167793273925781,11031.183403458026
GBR,EC (eV),"n_estimators=115, learning_rate=0.1, max_depth=4",0.006817690927182627,0.5309060570595934,0.07298469543457031,7687.182826707976
GBR,EO (eV),"n_estimators=115, learning_rate=0.2, max_depth=3",0.0017708620212555607,1.304685522387272,0.0797572135925293,73575.1653560358
GBR,EC (eV),"n_estimators=115, learning_rate=0.2, max_depth=3",0.0010255416493341282,0.5303295283524601,0.06026291847229004,51612.139501774174
GBR,EO (eV),"n_estimators=115, learning_rate=0.2, max_depth=4",0.00012664328809585844,1.2413843165328549,0.05281972885131836,980121.1670256305
GBR,EC (eV),"n_estimators=115, learning_rate=0.2, max_depth=4",7.419863527010033e-05,0.5314087048970274,0.05620694160461426,716097.4111283527
GBR,EO (eV),"n_estimators=115, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.05999946594238281,9080176396.448338
GBR,EC (eV),"n_estimators=115, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.06377387046813965,3593836517.455989
GBR,EO (eV),"n_estimators=115, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.07287454605102539,8842781410.249344
GBR,EC (eV),"n_estimators=115, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.07979202270507812,3946451765.959173
GBR,EO (eV),"n_estimators=120, learning_rate=0.1, max_depth=3",0.03581556880233995,1.275522342551371,0.0692741870880127,3461.3627961369607
GBR,EC (eV),"n_estimators=120, learning_rate=0.1, max_depth=3",0.02101732728846139,0.5309162530393781,0.07799196243286133,2426.088335365332
GBR,EO (eV),"n_estimators=120, learning_rate=0.1, max_depth=4",0.009716287187017902,1.2878972030189186,0.06541156768798828,13155.034338010308
GBR,EC (eV),"n_estimators=120, learning_rate=0.1, max_depth=4",0.0057165729194308965,0.5310257951733866,0.07404899597167969,9189.233298650057
GBR,EO (eV),"n_estimators=120, learning_rate=0.2, max_depth=3",0.0013704172930680317,1.3049729395751604,0.05878305435180664,95124.49447887824
GBR,EC (eV),"n_estimators=120, learning_rate=0.2, max_depth=3",0.0007924036294592821,0.530349558125112,0.06971859931945801,66829.21869716955
GBR,EO (eV),"n_estimators=120, learning_rate=0.2, max_depth=4",8.721665779839545e-05,1.2413675620956652,0.07010674476623535,1423214.7582485133
GBR,EC (eV),"n_estimators=120, learning_rate=0.2, max_depth=4",5.140110931160416e-05,0.5314105429693979,0.07042217254638672,1033750.3391976957
GBR,EO (eV),"n_estimators=120, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.06910133361816406,9080176396.448338
GBR,EC (eV),"n_estimators=120, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.07485270500183105,3593836517.455989
GBR,EO (eV),"n_estimators=120, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.06815266609191895,8842781410.249344
GBR,EC (eV),"n_estimators=120, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.07585954666137695,3946451765.959173
GBR,EO (eV),"n_estimators=130, learning_rate=0.1, max_depth=3",0.028076138347665335,1.2764962738553267,0.07981491088867188,4446.5521577381505
GBR,EC (eV),"n_estimators=130, learning_rate=0.1, max_depth=3",0.016294350352144365,0.530552353875986,0.08595895767211914,3156.050977240491
GBR,EO (eV),"n_estimators=130, learning_rate=0.1, max_depth=4",0.006838115057068246,1.2874861705123801,0.04993939399719238,18728.085806797953
GBR,EC (eV),"n_estimators=130, learning_rate=0.1, max_depth=4",0.004025371269583584,0.5310291185093335,0.04785037040710449,13092.053178346137
GBR,EO (eV),"n_estimators=130, learning_rate=0.2, max_depth=3",0.0008183685602346888,1.3050836507176324,0.05770373344421387,159373.8256248951
GBR,EC (eV),"n_estimators=130, learning_rate=0.2, max_depth=3",0.00047310702515130374,0.5303427705777696,0.07749772071838379,111997.84306376794
GBR,EO (eV),"n_estimators=130, learning_rate=0.2, max_depth=4",4.155286088268459e-05,1.2413684833918972,0.07891416549682617,2987344.082121396
GBR,EC (eV),"n_estimators=130, learning_rate=0.2, max_depth=4",2.4376018986399795e-05,0.5314070716072681,0.07191348075866699,2179940.440170965
GBR,EO (eV),"n_estimators=130, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.07089471817016602,9080176396.448338
GBR,EC (eV),"n_estimators=130, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.07350945472717285,3593836517.455989
GBR,EO (eV),"n_estimators=130, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.0759592056274414,8842781410.249344
GBR,EC (eV),"n_estimators=130, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.07829475402832031,3946451765.959173
GBR,EO (eV),"n_estimators=150, learning_rate=0.1, max_depth=3",0.017262307143789565,1.2784938307727394,0.11266303062438965,7306.274376439312
GBR,EC (eV),"n_estimators=150, learning_rate=0.1, max_depth=3",0.010002972792176053,0.531662912181958,0.05243253707885742,5215.049068191055
GBR,EO (eV),"n_estimators=150, learning_rate=0.1, max_depth=4",0.0033848108383401467,1.2879518404325017,0.0791785717010498,37950.92520514651
GBR,EC (eV),"n_estimators=150, learning_rate=0.1, max_depth=4",0.0019936031404974176,0.5310123692826068,0.09602117538452148,26535.811235234887
GBR,EO (eV),"n_estimators=150, learning_rate=0.2, max_depth=3",0.00029225006768796344,1.305316429894656,0.08681750297546387,446543.6706828576
GBR,EC (eV),"n_estimators=150, learning_rate=0.2, max_depth=3",0.00016871768765229094,0.5303460778885218,0.08507347106933594,314239.34714747174
GBR,EO (eV),"n_estimators=150, learning_rate=0.2, max_depth=4",9.30946396181859e-06,1.2413609477074072,0.08231735229492188,13334297.692484425
GBR,EC (eV),"n_estimators=150, learning_rate=0.2, max_depth=4",5.4892548666953154e-06,0.5314082530648357,0.06113028526306152,9680781.394103648
GBR,EO (eV),"n_estimators=150, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.055357933044433594,9080176396.448338
GBR,EC (eV),"n_estimators=150, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.07263898849487305,3593836517.455989
GBR,EO (eV),"n_estimators=150, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.08148026466369629,8842781410.249344
GBR,EC (eV),"n_estimators=150, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.09161829948425293,3946451765.959173
